p,n,iter,theta,time
1,10000,300,9985.355091,36.238513
2,10000,300,9985.355091,18.258686
4,10000,300,9985.355091,9.283511
8,10000,300,9985.355091,4.974205
16,10000,300,9985.355091,2.723916
20,10000,300,9985.355091,2.226136
