p,n,iter,theta,time
1,10000,300,9985.355091,36.252863
2,10000,300,9985.355091,18.306404
4,10000,300,9985.355091,9.422889
8,10000,300,9985.355091,4.973958
16,10000,300,9985.355091,2.781653
20,10000,300,9985.355091,2.354903
