p,n,iter,theta,time
1,10000,300,9985.355091,36.236301
2,14142,300,14120.701252,36.465626
4,20000,300,19970.116771,36.726545
8,28284,300,28242.182601,37.154419
16,40000,300,39932.150238,37.500492
20,44721,300,44653.305895,38.164275
