100000 1 0.0115852 0.0116589 0.0116396
100000 2 0.0115852 0.00594629 0.00590066
100000 4 0.0115852 0.00311793 0.00309913
100000 8 0.0115852 0.00178255 0.0018034
100000 16 0.0115852 0.00789956 0.0063287
100000 20 0.0115852 0.00706967 0.00691735
    
1000000 1 0.115742 0.115785 0.115794
1000000 2 0.115742 0.0580571 0.0579546
1000000 4 0.115742 0.0291382 0.0291106
1000000 8 0.115742 0.0148462 0.0148455
1000000 16 0.115742 0.0270577 0.0224967
1000000 20 0.115742 0.0256605 0.0246795
    
10000000 1 1.33843 1.34187 1.34158
10000000 2 1.33843 0.679862 0.679661
10000000 4 1.33843 0.36456 0.364317
10000000 8 1.33843 0.274967 0.27478
10000000 16 1.33843 0.323223 0.316548
10000000 20 1.33843 0.307868 0.307692
    
100000000 1 13.4166 13.4158 13.4152
100000000 2 13.4166 6.82656 6.82543
100000000 4 13.4166 3.69312 3.69354
100000000 8 13.4166 2.75266 2.75324
100000000 16 13.4166 2.97838 2.98808
100000000 20 13.4166 2.98289 2.97278
    
1000000000 1 134.274 134.293 134.287
1000000000 2 134.274 68.4276 68.4235
1000000000 4 134.274 36.8713 36.8687
1000000000 8 134.274 27.3054 27.3026
1000000000 16 134.274 28.2397 28.0027
1000000000 20 134.274 28.2782 28.248
    
