100000 1 0.0115715 0.0117188 0.201065
100000 2 0.0115715 0.00594948 0.585415
100000 4 0.0115715 0.00312556 0.736543
100000 8 0.0115715 0.00181107 0.993253
100000 16 0.0115715 0.00804562 2.41426
100000 20 0.0115715 0.00722455 2.44382
    
1000000 1 0.11578 0.115883 2.00916
1000000 2 0.11578 0.0580754 7.07123
1000000 4 0.11578 0.02913 7.7147
1000000 8 0.11578 0.0148712 9.85449
1000000 16 0.11578 0.0270257 26.1028
1000000 20 0.11578 0.0250775 26.2341
    
10000000 1 1.35046 1.35147 20.1948
10000000 2 1.35046 0.692264 62.2598
10000000 4 1.35046 0.369768 64.8617
10000000 8 1.35046 0.275496 101.084
10000000 16 1.35046 0.322982 266.362
10000000 20 1.35046 0.31457 266.988
    
